symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,volume,avgVolume,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
VRTX,Vertex Pharmaceuticals Incorporated,487.32,1.045,5.04,481.695,489.18,519.88,377.85,125499032280.0,437.7822,459.3787,NASDAQ,677454.0,1645076.0,485.0,482.28,-1.88,-259.21,2025-02-10T21:00:00.000+0000,257529000.0,1738778045
ADP,"Automatic Data Processing, Inc.",306.92,0.7385,2.25,303.94,306.96,311.67,231.27,124876847320.0,297.742,271.88736,NASDAQ,335053.0,1780861.0,305.63,304.67,9.51,32.27,2025-04-29T12:30:00.000+0000,406871000.0,1738778039
ETN,Eaton Corporation plc,315.635,0.2971,0.935,311.3,316.76,379.99,255.65,124738952000.0,350.3018,328.42166,NYSE,1325909.0,2532544.0,315.55,314.7,9.47,33.33,2025-04-28T12:30:00.000+0000,395200000.0,1738778047
GILD,"Gilead Sciences, Inc.",99.965,2.0155,1.975,98.01,100.34,100.34,62.07,124583380550.0,92.3214,79.8313,NASDAQ,3234015.0,7175506.0,98.48,97.99,4.43,22.57,2025-02-11T21:00:00.000+0000,1246270000.0,1738778049
PANW,"Palo Alto Networks, Inc.",185.55,1.1723,2.15,183.05,186.3519,207.24,130.045,121757910000.0,188.594,172.19203,NASDAQ,1520584.0,5621230.0,183.94,183.4,3.86,48.07,2025-02-13T21:00:00.000+0000,656200000.0,1738778047
BMY,Bristol-Myers Squibb Company,59.99,1.4716,0.87,59.23,60.07,61.1,39.35,121670518200.0,57.73,49.9914,NYSE,4925083.0,10945322.0,59.64,59.12,-3.53,-16.99,2025-02-06T13:30:00.000+0000,2028180000.0,1738778048
SPOT,Spotify Technology S.A.,619.22,-0.4101,-2.55,607.3,630.77,630.77,227.52,121216966581.0,482.3298,372.6322,NYSE,2569300.0,2694561.0,608.85,621.77,3.98,155.58,2025-02-04T05:00:00.000+0000,195757512.0,1738777997
MDT,Medtronic plc,91.59,0.6815,0.62,90.675,91.84,93.08,75.96,117444941100.0,84.6196,84.5463,NYSE,1652703.0,6886686.0,91.27,90.97,3.28,27.92,2025-02-18T13:30:00.000+0000,1282290000.0,1738778045
FISV,"Fiserv, Inc.",114.23,0.0,0.0,112.54,114.23,188.85,109.115,116201705639.0,171.9132,154.6796,NASDAQ,20051164.0,2417444.0,112.54,114.23,3.85,29.67012987012987,2024-04-23T12:00:00.000+0000,1017260839.0,1731618000
ANTM,Elevance Health Inc.,482.58,2.705,12.71,466.74,485.745,533.68,355.4333,114592481640.0,489.2554,456.09894,NYSE,1274535.0,1177335.0,469.53,469.87,25.41,18.99173553719008,,237458000.0,1656388800
NKE,"NIKE, Inc.",74.69,-2.646,-2.03,74.675,76.7888,107.43,70.32,110519940313.0,75.6524,81.76265,NYSE,4248537.0,12325608.0,76.3,76.72,3.24,23.05,2025-03-19T10:59:00.000+0000,1479715361.0,1738778041
MMC,"Marsh & McLennan Companies, Inc.",223.96,0.399,0.89,222.575,224.785,235.5,194.5,109991683120.0,218.2078,217.2637,NYSE,989008.0,1965223.0,224.37,223.07,8.32,26.92,2025-04-16T12:30:00.000+0000,491122000.0,1738777998
CB,Chubb Limited,272.68,0.1653,0.45,271.85,274.9,302.05,238.85,109916762640.0,275.8032,272.77216,NYSE,347822.0,1681810.0,273.75,272.23,22.51,12.11,2025-04-21T10:59:00.000+0000,403098000.0,1738778015
PLD,"Prologis, Inc.",118.42,0.093,0.11,117.52,119.44,135.76,100.82,109677643500.0,111.7,115.8296,NYSE,862932.0,4285679.0,119.44,118.31,3.31,35.78,2025-04-15T12:30:00.000+0000,926175000.0,1738778044
LMT,Lockheed Martin Corporation,450.83,-0.6282,-2.85,450.46,457.01,618.95,413.92,106119070380.0,495.2868,514.9602,NYSE,480281.0,1364757.0,457.0,453.68,22.32,20.2,2025-04-21T12:30:00.000+0000,235386000.0,1738778053
