,symbol,date,calendarYear,period,roic,earningsYield
9676,QGEN,2018-12-31,2018,FY,0.04258677931698891,0.02311038711922328
9677,QGEN,2017-12-31,2017,FY,0.011491469260033272,0.005326591995830928
9678,QGEN,2016-12-31,2016,FY,0.034857089840122535,0.0115387256946023
9679,QGEN,2015-12-31,2015,FY,0.04288689780159272,0.018603395412147734
9680,QGEN,2014-12-31,2014,FY,0.03827630797310715,0.020209718121826793
9681,OXLCN,2024-03-31,2023,FY,0.15307632070531463,0.22090729884515203
9682,OXLCN,2023-03-31,2022,FY,-0.10443171496691792,-0.2179732325791991
9683,OXLCN,2022-03-31,2021,FY,0.10511398106876019,0.1657458576703095
9684,OXLCN,2021-03-31,2020,FY,0.327909590063781,0.49841269975356617
9685,OXLCN,2020-03-31,2019,FY,-0.5189442039491798,-0.9928057603745002
9686,OXLCN,2019-03-31,2018,FY,-0.03670071330699477,-0.051724138621281376
9687,OXLCN,2018-03-31,2017,FY,0.07737095440088544,0.1459353577230446
9688,OXLCN,2017-03-31,2016,FY,0.2806530526314767,0.4154505868983893
9689,OXLCN,2016-03-31,2015,FY,-0.320946783633737,-0.5413590385820674
9690,OXLCN,2015-03-31,2014,FY,0.008552936757599196,0.015519567918215054
9691,DRS,2023-12-31,2023,FY,0.06914984604858022,0.03193612774451098
9692,DRS,2022-12-31,2022,FY,0.16094140147691655,0.14739600393056013
9693,DRS,2021-12-31,2021,FY,0.08471794871794872,0.11274617468335894
9694,DRS,2020-12-31,2020,FY,0.06681229155086159,0.05820308253796254
9695,DRS,2019-12-31,2019,FY,0.06552149212134205,0.09966115208291808
9696,DRS,2018-12-31,2018,FY,0.0,-0.02673082063619353
9697,DRS,2008-03-31,2007,FY,0.06962828878721913,0.034492184004604166
9698,DRS,2007-03-31,2006,FY,0.06154309498410132,0.12221800673021455
9699,DRS,2006-03-31,2005,FY,0.035661608993592275,0.30082432107554063
9700,PAC,2023-12-31,2023,FY,0.1818655496996242,0.06340936235833848
9701,PAC,2022-12-31,2022,FY,0.18505399200428477,0.06345546343150144
9702,PAC,2021-12-31,2021,FY,0.13691774723964287,0.040925606685986264
9703,PAC,2020-12-31,2020,FY,0.06299399906466659,0.016863667667176844
9704,PAC,2019-12-31,2019,FY,0.1521973013579714,0.04657937445833116
9705,PAC,2018-12-31,2018,FY,0.142071452518262,0.06116835633972587
9706,PAC,2017-12-31,2017,FY,0.1288790598050585,0.04429541608905256
9707,PAC,2016-12-31,2016,FY,0.111121396104108,0.03742806402463783
9708,PAC,2015-12-31,2015,FY,0.1031862309217416,0.034112021940387566
9709,PAC,2014-12-31,2014,FY,0.09496535244685211,0.04601264348795678
9710,ALTR,2023-12-31,2023,FY,-0.00015215608009292573,-0.0013161011663345744
9711,ALTR,2022-12-31,2022,FY,-0.037348860120070576,-0.012018236127077373
9712,ALTR,2021-12-31,2021,FY,0.41912700862687513,-0.0014929984214283555
9713,ALTR,2020-12-31,2020,FY,-0.08898174985695952,-0.002464116953955872
9714,ALTR,2019-12-31,2019,FY,-0.029999684363810664,-0.0029356069363837864
9715,ALTR,2018-12-31,2018,FY,0.03515319983935303,0.006722171527671029
9716,ALTR,2017-12-31,2017,FY,-1.0017227436870273,-0.07920960311038192
9717,ALTR,2016-12-31,2016,FY,0.11101384956632218,0.011044709665033833
9718,ALTR,2015-12-31,2015,FY,0.16409248488637057,0.011879338910605611
9719,AGI,2023-12-31,2023,FY,0.06059903920573049,0.03941806746606095
9720,AGI,2022-12-31,2022,FY,0.014999644347496207,0.009357205577443347
9721,AGI,2021-12-31,2021,FY,-1.9721171886275075,-0.02208996350588996
9722,AGI,2020-12-31,2020,FY,0.04309678776876041,0.042075700517010275
9723,AGI,2019-12-31,2019,FY,0.028727197671190953,0.04091515057797227
9724,AGI,2018-12-31,2018,FY,-0.01359512711190302,-0.05277777779958678
9725,AGI,2017-12-31,2017,FY,0.020867392038283035,0.013373946489361922
9726,AGI,2016-12-31,2016,FY,0.020936109366145525,-0.009866604862853519
9727,AGI,2015-12-31,2015,FY,-0.18951337054168996,-0.7968269845293904
9728,AGI,2014-12-31,2014,FY,-0.010393201674776396,-0.0023406970679543332
9729,OXLCP,2024-03-31,2023,FY,0.15307632070531463,0.22090729884515203
9730,OXLCP,2023-03-31,2022,FY,-0.10443171496691792,-0.2179732325791991
9731,OXLCP,2022-03-31,2021,FY,0.10511398106876019,0.1657458576703095
9732,OXLCP,2021-03-31,2020,FY,0.327909590063781,0.49841269975356617
9733,OXLCP,2020-03-31,2019,FY,-0.5189442039491798,-0.9928057603745002
9734,OXLCP,2019-03-31,2018,FY,-0.03670071330699477,-0.051724138621281376
9735,OXLCP,2018-03-31,2017,FY,0.07737095440088544,0.1459353577230446
9736,OXLCP,2017-03-31,2016,FY,0.2806530526314767,0.4154505868983893
9737,OXLCP,2016-03-31,2015,FY,-0.320946783633737,-0.5413590385820674
9738,OXLCP,2015-03-31,2014,FY,0.008552936757599196,0.015519567918215054
9739,HLNE,2024-03-31,2024,FY,0.19614591606426565,0.03319943440806131
9740,HLNE,2023-03-31,2023,FY,0.20830879826267162,0.06827400136553105
9741,HLNE,2022-03-31,2022,FY,0.23415934546335343,0.08761702519348867
9742,HLNE,2021-03-31,2021,FY,0.18713102508769375,0.05748868049478486
9743,HLNE,2020-03-31,2020,FY,0.3604540468313512,0.08160253174526763
9744,HLNE,2019-03-31,2019,FY,0.2998680881407329,0.031959973974932936
9745,HLNE,2018-03-31,2018,FY,0.3864113589933653,0.0252939176477413
9746,HLNE,2017-03-31,2017,FY,0.3351725840782413,0.0018427699467991362
9747,HLNE,2016-03-31,2016,FY,0.32627936353497755,0.1856471088647341
9748,HLNE,2015-03-31,2015,FY,0.35289261439120606,0.23244330078705266
9749,KEP,2023-12-31,2023,FY,-0.012564830713178245,-0.3987356109162394
9750,KEP,2022-12-31,2022,FY,-0.11037322419833964,-1.9665994512499607
9751,KEP,2021-12-31,2021,FY,-0.015378460548075458,-0.3685821751005922
9752,KEP,2020-12-31,2020,FY,0.022878638202951263,0.11325172661644961
9753,KEP,2019-12-31,2019,FY,-0.002335310046843841,-0.1268328325825594
9754,KEP,2018-12-31,2018,FY,0.002856065353300792,-0.05373094004656172
9755,KEP,2017-12-31,2017,FY,0.012372211567689528,0.05359050457888319
9756,KEP,2016-12-31,2016,FY,0.053258008784984545,0.25010734621350184
9757,KEP,2015-12-31,2015,FY,0.05345119681351442,0.4140200001526896
9758,KEP,2014-12-31,2014,FY,0.026932162184799057,0.10046838401249629
9759,EDR,2023-12-31,2023,FY,0.012262845461813002,0.05026111689032186
9760,EDR,2022-12-31,2022,FY,-0.09210049957955672,0.0859762588546333
9761,EDR,2021-12-31,2021,FY,-0.019437442286732626,-0.04260543674986268
9762,EDR,2020-12-31,2020,FY,0.007943255485589376,-0.05997103611631874
9763,EDR,2019-12-31,2019,FY,0.01930033111188352,-0.021839878153272988
9764,EDR,2018-12-31,2018,FY,-0.01709583459379109,0.05197777700107362
9765,EDR,2017-12-31,2017,FY,-0.006965291222839274,-0.01005729631976104
9766,EDR,2016-12-31,2016,FY,0.0012407689037878973,-0.006551552937389113
9767,EDR,2015-12-31,2015,FY,0.022147843413641045,0.006546828621836385
9768,EDR,2014-12-31,2014,FY,0.037284516450110085,0.005510186737166296
9769,PEGA,2024-12-31,2024,FY,0.1262761419526485,0.012481788033218326
9770,PEGA,2023-12-31,2023,FY,0.06062760958281319,0.01668793298538783
9771,PEGA,2022-12-31,2022,FY,-0.22458360814020537,-0.12316414564280148
9772,PEGA,2021-12-31,2021,FY,-0.040575296855347304,-0.006926943994033757
9773,PEGA,2020-12-31,2020,FY,-0.05840369064818735,-0.005732807246335615
9774,PEGA,2019-12-31,2019,FY,-0.14076214852231364,-0.014361897243263895
9775,PEGA,2018-12-31,2018,FY,0.023478619327773953,0.0026723208213042396
9776,PEGA,2017-12-31,2017,FY,0.08403361919129758,0.00902085944325104
9777,PEGA,2016-12-31,2016,FY,0.07810443584275181,0.009818989443840444
9778,PEGA,2015-12-31,2015,FY,0.10765428372361709,0.017263779784856288
9779,PEAK,2024-12-31,2024,FY,0.0,0.0177527309804497
9780,PEAK,2023-12-31,2023,FY,0.0843013245357421,0.02825380343177223
9781,PEAK,2022-12-31,2022,FY,0.008853350566340325,0.0027985014298862456
9782,PEAK,2021-12-31,2021,FY,0.007552724635355988,0.0013058622768922935
9783,PEAK,2020-12-31,2020,FY,0.0046636673531208536,0.0016512022394668912
9784,PEAK,2019-12-31,2019,FY,0.005209573479392856,0.0014818457378098866
9785,PEAK,2018-12-31,2018,FY,0.025234330141428053,0.004278488933018435
9786,PEAK,2017-12-31,2017,FY,-0.005997745104748803,0.008966561409966316
9787,PEAK,2016-12-31,2016,FY,0.0059073111868913055,0.0072833540494604285
9788,PEAK,2015-12-31,2015,FY,0.00256130272803968,0.0038590694011011004
9789,LTM,2023-12-31,2023,FY,0.10865189283560768,0.08882979214580995
9790,LTM,2022-12-31,2022,FY,0.014886983429245947,2.0491173056452503
9791,LTM,2021-12-31,2021,FY,-0.7010366133923238,-20.07663152998494
9792,LTM,2020-12-31,2020,FY,-0.13127255752767358,-4.219820043739643
9793,LTM,2019-12-31,2019,FY,0.06479485621482205,0.03138824170301469
9794,LTM,2018-12-31,2018,FY,0.039426210829385244,0.029078356864357332
9795,LTM,2017-12-31,2017,FY,0.026613650629109226,0.018008384454245453
9796,LTM,2016-12-31,2016,FY,0.0134772746854095,0.015081610231362749
9797,LTM,2015-12-31,2015,FY,0.016068694421793414,-0.07680956523106738
9798,LTM,2014-12-31,2014,FY,-0.039792673711142104,-0.017339298826205784
9799,AAON,2023-12-31,2023,FY,0.22171632027962893,0.029628513187659737
9800,AAON,2022-12-31,2022,FY,0.15258861538224602,0.02512014963774028
9801,AAON,2021-12-31,2021,FY,0.10410466355770259,0.014117042219953526
9802,AAON,2020-12-31,2020,FY,0.20221926068575902,0.02272986893126015
9803,AAON,2019-12-31,2019,FY,0.17024621200191745,0.02087269629345279
9804,AAON,2018-12-31,2018,FY,0.16322322471181785,0.03458748765925913
9805,AAON,2017-12-31,2017,FY,0.21974103485029828,0.04236312591425569
